Species,Region,Pollution_Level,Illegal_Wildlife_Trade_Rate,Food_Availability,Human_Population_Density,Species_Reproduction_Rate,Climate_Change_Impact,Protected_Area_Presence,Invasive_Species_Presence,Extinction_Risk
Bengal Tiger,East Asia,73.06,34.29,23.32,16.39,1.9,59.38,0,0,1
Whooping Crane,Middle East,83.01,42.14,8.51,24.96,1.99,73.22,1,0,1
Hawksbill Turtle,South Asia,92.31,66.26,28.77,60.68,2.25,69.47,0,1,1
African Elephant,Sub-Saharan Africa,79.13,42.04,8.48,7.97,1.7,97.16,1,1,0
Iberian Lynx,Middle East,60.98,59.34,25.61,15.1,2.34,80.19,0,1,0
Hawksbill Turtle,Southeast Asia,64.45,69.72,4.55,22.17,1.8,72.94,0,1,1
Sumatran Tiger,East Asia,53.23,49.64,42.98,25.81,1.94,72.43,1,0,0
Saola,Europe,63.09,62.92,24.08,75.94,2.58,74.76,1,0,0
Snow Leopard,Europe,90.11,56.9,31.15,15.77,1.66,60.01,1,1,1
California Condor,South America,81.79,51.51,54.41,58.81,2.25,73.91,0,1,1
Red Panda,Europe,54.35,59.75,49.53,82.66,2.35,91.16,0,1,1
Blue Whale,South America,87.68,73.92,41.12,27.16,2.11,79.1,0,1,1
Kakapo,Oceania,86.32,41.72,2.73,12.38,1.96,88.14,0,1,1
Pangolin,North America,56.5,37.53,37.26,69.36,2.74,49.4,1,0,0
Snow Leopard,East Asia,64.08,36.77,59.21,55.29,2.0,97.53,0,1,0
Sea Otter,Middle East,58.29,62.93,10.86,11.24,2.07,57.74,1,1,1
Amur Leopard,Oceania,97.6,64.68,10.12,91.55,1.88,64.2,0,0,1
Javan Rhino,South Asia,67.49,43.02,26.33,17.12,2.05,65.49,0,1,1
Whooping Crane,North America,71.0,22.23,16.71,26.83,2.34,82.3,0,1,1
Iberian Lynx,Central Asia,71.58,41.23,50.94,48.91,1.9,78.5,1,0,1
Kakapo,North America,80.33,57.12,8.73,84.12,1.26,57.39,0,0,0
Blue Whale,East Asia,50.01,49.13,10.58,38.45,2.18,95.71,0,0,0
Hawksbill Turtle,East Asia,61.5,52.34,2.83,24.61,1.62,88.14,0,0,1
Amur Leopard,South America,81.43,43.2,19.31,21.76,2.26,42.79,1,1,1
Sumatran Tiger,Oceania,67.98,63.18,9.2,24.59,2.0,90.71,0,1,1
Pangolin,South America,64.17,54.46,16.3,126.87,2.33,79.62,1,1,0
Black Rhino,Europe,83.06,57.62,25.15,42.5,1.67,73.94,0,0,1
Galapagos Penguin,Central Asia,92.14,52.07,66.19,34.59,1.81,68.42,1,1,1
Sumatran Tiger,Middle East,82.94,56.82,31.11,55.69,1.88,72.9,1,0,1
Whooping Crane,Europe,68.55,55.96,24.57,26.02,1.48,99.13,0,0,1
Orangutan,Middle East,78.84,37.94,26.57,81.13,2.39,83.53,0,0,0
Javan Rhino,Middle East,88.36,54.85,51.45,45.15,1.43,68.51,0,0,1
Axolotl,Oceania,54.19,60.29,44.88,24.11,2.38,81.52,1,0,0
Saola,South America,69.27,65.02,55.43,20.2,2.15,72.52,0,0,1
Vaquita,Europe,74.69,55.41,14.89,5.59,1.93,64.69,0,0,1
African Elephant,East Asia,80.92,37.45,18.4,60.57,2.12,70.81,0,0,0
Blue Whale,Middle East,92.26,39.45,12.28,7.87,2.11,54.09,0,0,0
Pangolin,Central Asia,65.2,44.34,17.95,77.97,1.86,82.77,0,0,1
Whooping Crane,South Asia,85.63,52.46,16.45,14.75,2.1,64.15,0,0,1
Sumatran Tiger,Europe,72.35,48.41,39.29,16.47,2.26,70.61,1,1,0
Mountain Gorilla,Middle East,76.81,35.39,25.86,106.35,1.67,74.02,0,1,1
Kakapo,Europe,77.04,35.31,24.27,57.37,2.12,76.41,1,0,0
African Elephant,Sub-Saharan Africa,55.46,22.72,39.82,33.92,1.08,95.57,0,1,0
Kakapo,Middle East,65.38,9.45,15.69,99.63,1.32,91.75,1,1,0
Black Rhino,Southeast Asia,49.15,48.29,45.13,29.19,2.2,92.3,1,1,0
Saola,Europe,80.16,80.16,20.01,21.09,1.85,80.2,1,0,1
Javan Rhino,North America,84.49,73.36,16.95,36.37,1.7,54.86,1,1,1
Amur Leopard,South Asia,69.26,37.28,16.0,63.52,1.98,53.42,0,0,0
Asian Elephant,Middle East,67.04,51.95,8.33,9.87,1.86,88.05,1,1,0
Pangolin,South Asia,86.07,30.96,6.28,16.13,1.65,69.8,0,0,0
Hellbender Salamander,East Asia,79.43,32.94,44.71,12.67,1.43,65.83,0,1,0
Iberian Lynx,Europe,84.69,34.43,9.85,10.76,1.31,78.97,0,1,0
Orangutan,Oceania,70.44,47.07,46.55,26.81,2.26,60.31,1,0,0
Galapagos Penguin,Oceania,85.47,47.63,24.93,10.53,1.85,50.64,1,1,0
Amur Leopard,East Asia,79.14,53.29,73.37,4.78,2.34,91.52,1,0,1
Pangolin,Oceania,68.92,58.62,10.71,16.01,1.85,88.53,0,1,1
Giant Panda,Southeast Asia,63.53,45.62,24.53,15.09,2.12,58.12,0,1,0
African Elephant,Sub-Saharan Africa,75.73,50.47,24.94,43.28,1.96,84.92,0,0,0
Axolotl,Oceania,70.2,35.78,55.88,59.67,2.02,91.42,1,1,1
Mountain Gorilla,Central Asia,65.28,32.52,38.71,18.26,2.03,52.94,0,1,1
Hellbender Salamander,Central Asia,88.72,30.51,59.58,16.29,1.84,93.8,1,1,0
Sumatran Tiger,Europe,81.7,58.44,15.12,102.39,1.57,87.35,1,0,1
Javan Rhino,East Asia,84.92,45.61,47.73,58.15,2.27,52.97,1,1,0
Sea Otter,North America,34.15,25.68,25.47,39.81,2.56,71.24,1,1,0
Axolotl,Southeast Asia,83.71,49.18,31.34,23.5,2.58,67.9,0,0,1
Bengal Tiger,Southeast Asia,70.71,33.77,2.48,57.23,1.81,90.79,1,1,0
Vaquita,Sub-Saharan Africa,81.77,71.58,31.97,11.67,1.74,68.84,0,0,1
Red Panda,Middle East,42.67,42.48,9.81,59.08,1.81,98.97,0,1,1
Whooping Crane,Central Asia,62.69,58.86,6.34,44.83,1.94,91.45,1,1,1
Hawksbill Turtle,North America,72.26,64.16,6.63,51.15,1.98,79.86,1,1,0
Red Panda,Europe,72.89,37.59,7.15,34.22,1.65,51.21,1,0,0
Black Rhino,Europe,72.04,50.99,34.29,8.58,1.48,82.89,0,0,0
Giant Panda,Central Asia,86.86,57.2,48.55,11.99,2.02,89.46,0,0,0
African Elephant,Southeast Asia,65.82,51.5,49.0,46.61,0.76,64.25,1,1,1
Vaquita,Oceania,72.09,54.69,14.79,43.17,1.96,99.12,1,1,0
African Elephant,Central Asia,57.94,32.71,16.57,19.97,1.67,77.55,0,1,1
Bengal Tiger,Oceania,79.39,57.2,8.07,19.63,2.27,72.54,0,1,0
Black Rhino,North America,82.73,43.68,34.64,70.48,2.37,72.74,0,1,0
Hawksbill Turtle,South America,79.17,54.54,24.09,30.9,2.37,57.73,0,1,0
Pangolin,Sub-Saharan Africa,78.93,61.96,53.86,15.26,1.88,70.36,0,0,1
Snow Leopard,Sub-Saharan Africa,82.76,58.69,29.4,78.36,1.6,71.48,1,0,1
Orangutan,Oceania,76.08,54.53,9.99,73.45,1.71,77.59,0,0,1
Saola,South America,87.34,58.35,67.69,30.86,2.1,76.62,0,0,0
Hellbender Salamander,Sub-Saharan Africa,61.6,58.95,52.11,35.91,1.42,92.72,1,0,0
Iberian Lynx,Europe,50.86,69.44,47.45,58.29,2.49,84.06,0,1,1
Whooping Crane,South America,68.38,49.56,57.93,49.03,1.88,53.75,0,1,0
Black Rhino,South America,92.5,52.13,7.39,8.27,2.18,72.07,1,1,1
Saola,South America,50.8,62.12,41.72,80.12,1.38,81.81,1,1,0
Amur Leopard,Southeast Asia,95.32,43.62,56.35,6.66,1.68,41.57,0,1,1
Whooping Crane,South Asia,60.29,32.64,21.92,42.87,1.33,73.56,0,0,0
California Condor,South Asia,71.84,56.41,40.52,10.22,2.36,82.06,0,0,1
Hellbender Salamander,South Asia,69.03,47.32,14.35,48.96,1.94,66.49,0,0,1
Sea Otter,Oceania,84.0,34.3,44.76,16.81,2.2,91.21,1,0,1
Red Panda,Central Asia,81.64,56.51,59.48,17.84,2.02,50.33,1,1,0
Pangolin,Southeast Asia,68.41,68.6,20.21,55.97,2.16,70.74,1,0,0
Hellbender Salamander,East Asia,88.77,28.81,10.66,10.22,1.88,86.23,1,0,0
Orangutan,Oceania,93.43,63.29,6.07,19.94,1.93,68.01,1,1,0
Black Rhino,East Asia,83.14,17.02,36.86,10.6,1.97,73.33,1,0,0
Whooping Crane,South America,72.1,44.8,8.39,33.94,2.14,75.21,0,0,1
Vaquita,Middle East,76.73,73.93,30.92,10.41,2.15,95.2,1,1,1
Hawksbill Turtle,South America,66.75,45.73,12.03,40.24,2.98,52.55,0,0,0
Axolotl,South Asia,59.98,51.17,38.76,72.8,2.59,82.4,1,1,0
Black Rhino,East Asia,50.74,59.92,26.93,3.49,1.38,47.37,0,0,0
Whooping Crane,South Asia,68.88,27.69,25.54,16.88,1.95,57.73,0,0,0
Whooping Crane,Europe,63.78,50.94,1.79,11.58,1.86,86.09,0,0,0
Orangutan,Middle East,86.14,50.83,21.25,8.43,2.45,86.33,1,0,0
Pangolin,North America,86.35,74.21,37.86,39.45,1.89,62.91,0,1,0
Hellbender Salamander,Europe,69.18,33.94,18.93,36.08,2.16,80.66,1,1,0
Sea Otter,Middle East,63.18,45.04,21.89,79.79,1.18,68.66,1,0,0
Hawksbill Turtle,Oceania,64.14,37.93,6.58,51.81,1.47,73.36,1,0,0
Axolotl,North America,97.92,36.55,35.4,32.16,2.73,75.46,0,1,1
Iberian Lynx,Oceania,57.12,64.66,23.68,38.13,2.02,77.43,1,1,0
Kakapo,Middle East,86.34,50.35,3.81,19.91,1.65,95.59,1,1,0
Snow Leopard,North America,65.88,42.78,23.23,39.08,2.09,85.66,0,1,0
Orangutan,South Asia,88.51,43.27,30.92,6.74,1.63,47.36,0,0,0
Sumatran Tiger,South Asia,48.95,42.68,21.29,27.57,1.9,51.88,1,1,0
Blue Whale,South America,68.82,43.84,19.72,43.81,1.49,79.14,0,0,0
Orangutan,Europe,83.9,33.56,30.44,26.41,1.72,74.89,1,1,0
Black Rhino,South America,62.48,46.64,14.8,17.47,1.85,48.68,1,0,0
Mountain Gorilla,South America,72.13,45.33,29.18,33.28,2.39,76.48,1,0,0
Giant Panda,South Asia,47.44,40.15,54.33,15.21,2.16,80.7,0,0,0
Black Rhino,South Asia,46.24,52.02,33.32,25.14,2.22,84.56,1,0,0
Sumatran Tiger,Europe,80.28,53.12,14.94,55.42,1.99,63.54,1,1,1
Snow Leopard,Europe,80.3,42.76,22.7,57.92,2.29,81.88,0,1,0
Orangutan,South America,79.01,48.13,22.02,36.66,1.69,53.42,1,1,0
Bengal Tiger,Oceania,79.06,78.06,30.34,12.62,1.74,48.06,1,1,1
Axolotl,Europe,86.97,77.57,6.75,23.19,2.14,68.98,1,0,0
Blue Whale,Middle East,79.52,36.3,10.96,33.75,1.9,92.68,1,1,0
Galapagos Penguin,Southeast Asia,78.61,38.11,21.71,16.73,2.0,70.44,0,0,0
Axolotl,Central Asia,57.14,36.23,60.12,94.74,1.94,92.91,0,1,1
Galapagos Penguin,East Asia,75.1,63.74,18.32,17.07,2.44,66.43,1,1,1
Iberian Lynx,Europe,48.98,44.82,60.28,32.03,2.46,56.29,1,1,0
Amur Leopard,East Asia,56.6,53.12,22.77,60.5,1.78,77.1,1,1,0
Sumatran Tiger,Europe,52.91,75.96,9.45,84.65,1.38,41.02,1,1,0
Saola,South America,42.55,49.86,36.87,12.36,1.75,45.17,0,0,0
California Condor,Europe,72.92,59.18,16.54,6.98,1.69,82.36,1,0,0
Hellbender Salamander,Europe,77.92,56.77,28.14,36.33,2.29,75.8,1,0,0
Axolotl,South America,42.84,42.35,34.02,102.4,2.32,57.91,1,0,0
Kakapo,North America,64.08,63.77,25.26,8.22,1.64,55.15,1,0,0
Blue Whale,Middle East,70.1,38.95,59.97,23.9,1.74,72.39,0,0,1
Asian Elephant,Southeast Asia,52.62,67.42,46.55,38.72,1.48,91.75,1,0,0
Kakapo,South Asia,84.8,42.36,44.78,33.14,2.05,68.13,0,1,1
Whooping Crane,Middle East,90.71,43.79,9.48,43.29,1.98,96.35,1,1,1
Blue Whale,Europe,67.9,35.85,46.88,76.56,2.28,95.77,0,1,0
Galapagos Penguin,South Asia,72.73,37.98,18.74,61.35,2.17,75.4,0,1,0
Saola,Central Asia,72.24,44.45,18.94,23.47,2.21,67.38,1,1,1
Mountain Gorilla,East Asia,59.11,18.39,35.07,8.08,1.46,68.59,0,0,0
Mountain Gorilla,Sub-Saharan Africa,60.81,46.97,7.07,64.61,1.78,72.14,1,1,0
Axolotl,Europe,33.29,43.4,43.83,23.84,2.33,41.68,0,1,0
Orangutan,North America,86.56,60.27,59.61,32.81,1.81,84.57,1,0,1
African Elephant,North America,79.27,55.5,43.87,57.01,1.43,60.44,1,0,0
Amur Leopard,South America,94.67,40.8,31.15,63.22,2.28,80.15,1,0,1
Kakapo,Oceania,62.19,44.04,36.87,54.72,1.8,94.62,1,0,0
Orangutan,East Asia,61.02,46.95,21.83,91.25,2.37,78.69,1,0,1
California Condor,South Asia,78.12,69.32,54.54,30.12,1.99,61.91,0,1,0
Galapagos Penguin,Oceania,52.84,39.31,41.54,18.01,1.9,85.08,1,0,0
Red Panda,South America,86.06,40.64,2.9,13.73,2.48,87.69,1,1,1
California Condor,Europe,76.4,35.33,16.87,18.9,1.54,75.82,1,1,1
Amur Leopard,Sub-Saharan Africa,59.13,30.73,21.9,19.55,2.5,91.13,0,1,0
Giant Panda,Middle East,60.43,53.99,20.92,36.75,1.78,93.57,0,0,1
Snow Leopard,East Asia,63.08,52.64,49.29,46.54,2.06,63.6,0,0,0
California Condor,Central Asia,63.12,66.68,11.4,11.99,2.06,41.8,0,0,0
California Condor,Europe,44.94,63.54,9.74,57.13,1.85,75.52,1,0,0
Sea Otter,Central Asia,97.35,81.16,54.95,61.03,1.73,64.42,0,1,1
African Elephant,North America,56.8,49.04,9.26,47.36,1.87,82.77,0,1,1
Orangutan,Europe,75.07,46.61,19.67,21.26,1.64,85.07,0,0,1
Bengal Tiger,Southeast Asia,62.41,33.1,8.92,74.68,2.69,59.13,1,0,0
Bengal Tiger,North America,46.57,59.06,35.47,29.7,1.83,71.13,1,1,0
Blue Whale,Central Asia,34.72,51.54,30.94,16.12,2.41,78.33,1,1,1
Axolotl,Central Asia,88.72,58.47,13.9,11.88,2.36,76.45,0,1,1
Bengal Tiger,Southeast Asia,71.04,35.19,18.11,34.52,2.13,65.72,0,1,0
Hellbender Salamander,Sub-Saharan Africa,56.82,54.57,19.84,21.58,1.95,54.58,0,0,1
Saola,North America,81.85,52.67,20.18,9.02,2.07,68.1,0,0,0
Blue Whale,East Asia,87.39,51.81,39.47,6.56,2.2,49.79,0,0,0
Red Panda,Southeast Asia,56.9,41.12,8.7,38.52,2.04,82.09,1,1,0
Galapagos Penguin,Oceania,65.52,65.46,31.22,7.71,1.45,26.33,0,1,0
Orangutan,East Asia,81.71,76.65,14.49,2.27,1.36,91.57,0,1,1
Bengal Tiger,South America,77.25,35.57,23.62,61.64,2.53,77.16,0,1,1
Bengal Tiger,South America,77.47,59.37,29.23,13.32,1.08,86.96,0,1,1
Sumatran Tiger,Oceania,88.81,12.59,39.77,43.09,2.07,97.25,1,0,0
African Elephant,South America,41.99,58.69,19.45,33.99,1.92,92.83,1,0,0
Iberian Lynx,Middle East,54.3,25.69,32.13,17.65,2.06,92.39,1,0,0
Vaquita,South America,23.69,43.18,61.82,80.44,1.6,90.15,1,1,0
Galapagos Penguin,Oceania,93.31,32.93,24.92,48.13,2.12,78.31,1,0,0
Bengal Tiger,Middle East,86.23,47.2,41.77,28.29,2.07,88.35,0,0,1
Whooping Crane,South Asia,71.05,60.9,26.38,14.47,2.97,55.23,0,0,0
Javan Rhino,North America,70.44,25.85,57.23,45.44,2.05,71.22,0,0,1
Saola,Central Asia,80.34,45.33,31.31,50.58,2.47,77.97,0,0,1
Hawksbill Turtle,South America,91.55,43.33,45.29,31.71,1.48,84.73,1,1,1
Hellbender Salamander,Southeast Asia,75.49,70.55,33.04,28.85,2.36,56.93,1,0,1
Orangutan,Middle East,67.42,55.61,75.18,48.03,2.08,88.64,1,1,1
Red Panda,Oceania,69.26,34.7,13.15,27.77,2.09,63.51,0,0,0
Vaquita,North America,78.13,43.87,61.89,15.86,2.1,59.21,0,0,1
Hawksbill Turtle,Central Asia,57.93,70.23,50.83,8.32,2.6,78.85,0,0,0
Amur Leopard,South America,51.08,59.29,9.75,27.94,2.09,85.28,0,1,1
Giant Panda,Oceania,80.94,38.06,37.68,8.06,1.73,75.05,1,0,1
Snow Leopard,East Asia,79.19,46.53,8.35,51.02,1.78,75.04,1,1,0
Orangutan,Europe,39.99,46.94,22.31,27.94,2.29,70.17,1,0,0
African Elephant,South Asia,82.95,43.01,30.38,56.6,2.16,93.02,1,1,1
Amur Leopard,South America,63.25,27.77,13.94,35.95,1.46,36.94,1,0,0
Sumatran Tiger,Middle East,77.01,41.19,31.18,43.23,2.18,74.32,0,0,1
Mountain Gorilla,Europe,48.17,68.06,10.67,17.15,1.62,81.18,0,1,0
Snow Leopard,Sub-Saharan Africa,42.84,45.05,21.11,26.51,2.15,71.1,1,0,0
African Elephant,Southeast Asia,71.65,48.66,63.74,35.58,1.72,72.82,1,1,1
Red Panda,East Asia,51.37,51.83,13.23,32.61,1.9,88.04,0,1,1
Blue Whale,Southeast Asia,39.78,78.84,15.85,31.56,1.81,83.26,0,0,0
Red Panda,Southeast Asia,60.54,50.12,55.23,11.74,2.53,80.86,1,1,0
Snow Leopard,Southeast Asia,76.44,64.22,49.42,4.9,2.14,76.52,1,0,1
Black Rhino,Central Asia,38.03,42.22,5.26,10.98,2.44,60.79,1,0,0
Amur Leopard,Sub-Saharan Africa,91.48,46.63,8.19,1.5,3.01,93.5,1,1,1
Amur Leopard,Central Asia,85.09,50.16,0.76,5.76,2.02,66.51,0,0,0
Pangolin,Oceania,57.46,39.94,14.06,37.5,2.53,78.23,1,0,0
Galapagos Penguin,Middle East,76.25,47.35,26.86,23.88,1.76,93.71,0,1,1
Saola,Middle East,61.18,61.54,33.48,15.04,2.44,76.99,0,1,1
Sumatran Tiger,Oceania,68.13,39.6,28.77,23.51,1.72,87.87,1,1,1
Pangolin,Europe,58.17,50.0,25.79,3.76,1.99,79.57,1,0,0
Blue Whale,Oceania,68.94,59.21,20.64,27.41,2.19,80.22,0,1,0
Hawksbill Turtle,Oceania,84.4,39.28,10.17,8.94,2.24,59.36,1,0,0
Black Rhino,Europe,76.08,64.24,27.54,67.56,1.55,37.09,1,1,0
Axolotl,East Asia,56.23,50.95,48.59,44.66,1.7,29.7,1,0,0
Blue Whale,Europe,67.34,47.85,18.07,41.95,2.21,76.9,0,1,1
Whooping Crane,Southeast Asia,94.48,23.89,35.6,32.18,1.87,66.13,1,1,1
Saola,Oceania,46.56,45.14,54.52,47.43,1.51,56.57,0,1,0
Sumatran Tiger,South America,78.61,54.83,59.62,27.52,1.98,83.79,1,1,1
Javan Rhino,Sub-Saharan Africa,52.68,72.69,24.51,14.68,1.96,93.2,0,1,1
Black Rhino,Oceania,77.86,57.38,6.92,42.47,2.06,89.21,0,0,1
Hawksbill Turtle,South Asia,56.28,64.64,60.6,58.78,2.19,77.24,1,1,0
Sea Otter,Middle East,62.32,34.28,29.98,12.38,2.16,58.2,1,0,0
Black Rhino,North America,62.65,48.35,18.1,6.64,1.73,78.15,1,0,0
Blue Whale,Oceania,42.56,65.87,16.28,96.87,1.86,85.78,0,1,1
California Condor,Central Asia,96.1,38.46,2.87,73.44,2.32,92.79,0,0,1
Red Panda,Middle East,70.17,62.55,37.84,29.83,1.81,83.87,1,1,0
Bengal Tiger,South America,96.74,59.53,12.02,2.78,1.86,75.63,1,0,0
Red Panda,Middle East,78.61,53.57,16.77,35.73,1.47,62.68,1,0,0
Saola,Sub-Saharan Africa,65.52,45.73,23.66,131.53,1.99,92.19,0,1,1
Sumatran Tiger,Sub-Saharan Africa,75.28,37.18,61.0,47.15,2.12,79.38,1,1,0
Javan Rhino,Sub-Saharan Africa,55.97,73.08,37.35,44.39,4.78,78.95,1,0,0
Mountain Gorilla,East Asia,62.43,58.21,37.94,28.15,1.63,80.57,1,1,0
Giant Panda,East Asia,94.59,54.43,38.61,41.55,1.5,50.39,1,0,1
Iberian Lynx,South Asia,79.22,44.63,24.74,46.99,2.28,83.5,0,0,0
Bengal Tiger,North America,77.01,50.49,6.57,33.54,1.33,84.16,1,1,0
Orangutan,Middle East,52.84,52.14,14.28,25.08,1.97,93.5,0,1,1
Giant Panda,Europe,79.44,55.2,47.18,33.97,2.25,88.47,0,1,1
Snow Leopard,North America,80.59,59.55,25.47,32.79,2.07,23.64,1,0,1
Whooping Crane,Southeast Asia,59.28,39.83,14.09,3.5,1.85,94.99,0,1,0
African Elephant,South Asia,86.69,30.93,63.59,115.25,2.12,90.22,0,0,0
Snow Leopard,East Asia,75.95,51.1,38.76,44.42,2.36,83.77,0,1,1
California Condor,Central Asia,80.22,27.29,34.51,65.75,1.96,76.01,0,1,1
Mountain Gorilla,North America,84.07,45.79,27.37,36.65,1.22,89.09,1,0,0
Asian Elephant,Europe,82.31,43.38,16.14,19.3,2.4,80.58,1,1,1
Snow Leopard,Southeast Asia,79.72,56.39,27.38,56.41,2.14,75.95,1,0,0
Giant Panda,Oceania,94.17,75.77,20.85,6.23,1.99,96.33,1,0,1
African Elephant,East Asia,91.3,24.72,21.69,45.72,1.31,91.7,0,1,1
Javan Rhino,Sub-Saharan Africa,77.93,79.56,2.71,55.96,1.9,71.67,0,1,1
Iberian Lynx,East Asia,67.74,46.97,46.16,27.77,1.69,78.6,1,1,0
Saola,Middle East,88.85,54.52,31.83,42.61,1.57,41.54,0,0,1
Blue Whale,South Asia,58.67,31.61,30.09,3.58,1.95,66.21,0,0,0
African Elephant,Central Asia,79.01,62.96,34.69,43.97,1.81,65.46,0,1,0
Axolotl,Oceania,73.36,50.54,63.0,22.42,1.84,80.94,0,0,1
Hawksbill Turtle,Sub-Saharan Africa,81.59,49.2,19.95,42.76,2.26,72.59,1,1,0
Axolotl,Europe,83.34,24.81,9.59,28.73,2.09,76.05,1,0,0
Javan Rhino,Oceania,40.3,50.96,45.79,28.46,1.83,84.14,1,0,0
Sumatran Tiger,Europe,46.22,61.0,24.47,43.72,1.78,98.17,0,1,1
Red Panda,Sub-Saharan Africa,73.31,46.93,25.5,23.32,1.84,64.0,0,1,0
Snow Leopard,Europe,55.87,65.26,4.18,27.65,1.91,77.88,0,0,0
Orangutan,East Asia,92.11,64.73,38.27,99.68,2.2,78.28,0,1,1
Sumatran Tiger,Europe,85.9,41.67,18.26,68.75,1.64,84.26,1,0,1
Pangolin,East Asia,39.32,70.74,46.29,25.07,2.51,77.63,1,1,0
Iberian Lynx,Middle East,76.71,50.59,21.66,29.16,2.2,77.23,1,0,1
Saola,Central Asia,41.69,50.65,30.49,18.2,1.04,84.85,0,0,0
Mountain Gorilla,Middle East,94.72,51.29,7.44,22.48,2.03,45.84,0,1,1
Whooping Crane,North America,61.51,50.9,12.47,23.34,2.36,77.82,1,0,0
Galapagos Penguin,South Asia,83.62,15.81,49.58,32.33,2.14,58.44,1,1,0
Hellbender Salamander,Europe,91.7,47.59,25.49,4.17,1.86,87.36,0,0,1
Sumatran Tiger,Middle East,76.22,32.27,39.41,21.99,1.98,60.9,0,0,0
Orangutan,Oceania,86.79,71.14,4.25,19.13,2.06,61.64,1,0,1
Blue Whale,Sub-Saharan Africa,96.65,70.62,23.01,74.97,2.27,77.36,0,0,1
Blue Whale,Southeast Asia,89.92,61.08,24.42,28.91,1.5,61.65,1,0,1
Whooping Crane,East Asia,88.87,46.9,11.13,35.64,1.79,54.79,0,0,1
Pangolin,South Asia,86.05,36.9,15.05,21.5,2.57,44.27,0,0,0
Saola,South Asia,67.25,41.45,7.65,29.09,2.01,80.51,1,1,0
Hellbender Salamander,North America,89.43,75.25,23.35,22.48,2.53,89.86,0,0,1
Iberian Lynx,South Asia,89.78,41.0,23.48,32.68,3.04,98.36,0,0,0
Whooping Crane,Sub-Saharan Africa,85.66,19.38,19.73,42.54,1.83,59.65,0,1,1
Hellbender Salamander,Central Asia,69.71,63.39,26.9,9.34,1.58,86.65,1,1,0
Bengal Tiger,Central Asia,71.77,69.51,11.43,46.85,1.91,65.06,0,1,1
Vaquita,Oceania,82.46,71.57,35.03,13.54,2.38,46.72,0,0,0
Sea Otter,North America,61.29,63.5,17.34,102.01,2.43,78.62,0,0,1
Asian Elephant,Central Asia,54.94,65.62,13.68,32.18,2.8,93.66,0,1,1
Giant Panda,Sub-Saharan Africa,90.98,50.69,30.01,35.28,1.99,47.26,1,0,0
Orangutan,South Asia,85.03,23.01,25.86,36.31,2.17,73.71,1,0,0
Pangolin,Middle East,28.85,50.36,45.6,30.68,1.75,63.88,1,0,0
Galapagos Penguin,Central Asia,91.01,58.08,23.44,16.76,1.12,81.03,1,1,0
African Elephant,North America,72.26,48.24,19.11,35.35,1.99,90.72,0,1,1
Iberian Lynx,Sub-Saharan Africa,86.15,47.65,5.49,33.9,1.6,73.44,0,1,1
Orangutan,Oceania,68.2,37.47,16.01,15.14,2.23,77.78,0,1,1
Hawksbill Turtle,Southeast Asia,78.85,36.98,49.29,9.45,1.34,73.12,0,0,1
Red Panda,Europe,78.2,73.9,25.36,56.16,1.74,85.73,1,0,0
Amur Leopard,Southeast Asia,70.88,74.37,26.84,21.96,2.09,92.97,1,0,0
Iberian Lynx,Central Asia,79.87,49.97,32.12,26.24,5.08,44.13,0,0,1
Orangutan,Europe,55.88,53.66,22.69,34.01,1.98,47.9,1,0,0
Asian Elephant,Oceania,59.75,37.25,29.18,16.39,2.65,69.51,1,1,0
Bengal Tiger,Oceania,78.04,58.35,4.56,37.59,2.55,93.15,1,1,0
Sumatran Tiger,Central Asia,64.64,72.88,11.93,27.2,1.76,93.58,1,0,0
Snow Leopard,Europe,79.68,30.12,15.63,29.17,2.56,87.09,1,1,0
Sea Otter,Europe,92.87,56.03,59.68,63.78,2.62,39.56,1,0,1
Black Rhino,Southeast Asia,48.71,57.01,18.96,33.1,1.96,77.0,0,1,1
Vaquita,Southeast Asia,86.5,56.86,15.67,25.27,2.02,82.11,1,1,0
Snow Leopard,South Asia,74.0,71.36,22.83,12.52,1.98,76.38,1,1,0
Javan Rhino,Oceania,78.63,76.47,25.97,36.18,1.77,90.11,1,1,0
Mountain Gorilla,Oceania,90.91,46.96,37.22,54.59,1.81,56.52,0,0,1
Kakapo,Europe,74.89,58.75,15.45,25.61,2.46,66.02,0,1,1
Sea Otter,Oceania,87.75,51.1,21.72,54.29,2.15,26.5,1,0,0
Sumatran Tiger,Europe,89.57,41.78,6.25,36.54,1.81,49.6,0,0,0
Javan Rhino,South Asia,71.83,53.52,26.5,31.23,1.68,77.6,1,1,1
Orangutan,North America,75.73,58.73,26.31,39.77,1.73,91.24,0,1,1
Sea Otter,Sub-Saharan Africa,56.04,52.82,11.57,9.8,1.94,86.27,1,0,1
Asian Elephant,Middle East,53.9,38.54,19.92,22.23,2.32,86.24,0,0,1
Orangutan,South Asia,62.62,43.97,53.5,22.9,1.7,78.66,0,0,0
Giant Panda,Oceania,78.97,44.07,9.97,26.46,2.32,61.49,0,0,1
Whooping Crane,South America,50.61,39.05,36.12,91.27,2.07,75.12,0,0,0
Giant Panda,East Asia,81.98,54.08,29.03,31.99,2.05,90.86,0,0,0
Axolotl,Sub-Saharan Africa,90.47,55.44,58.34,8.42,2.36,93.58,1,0,0
